"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"c89cf55dd0f915acd99cfe7fc148f274",12.4435965912824,1.75531098684527,0.314984747266421,5.57268566836537,2.50841924525823e-08,1.45279281287872e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"8575406920eaae6ecc6b296e53e73f2a",18.8474880407179,1.40463625879085,0.328709527279888,4.27318389708503,1.92701399080266e-05,0.000368808080128102,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum",NA
"175ba2f0dfd211130a56284a517bf9d9",40.6739718453818,-1.66651194183293,0.398576563060291,-4.18115889463587,2.90027093138535e-05,0.000491631292027517,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"94cda2930d93f669b9f87cf23de82a93",2.52592169897928,0.832968784914855,0.195598553242285,4.25856311873161,2.05745128201561e-05,0.000376297010789698,"Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","DS-100","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"9895deb88d4b1588e253b5df655063a7",12.4132203864024,-1.11511480198485,0.269008249414529,-4.14528106261345,3.39397149747116e-05,0.000520376899439686,"Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured",NA,NA
"c12416cce280e20d23b3938ec9ff2c05",2.31060913632078,-0.932709109031702,0.202341138335918,-4.60958713933525,4.03469398526938e-06,0.000133529158083915,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA
"420e120c27c3b515362aed81eb9d90ea",1.89040970027937,-0.968110701873335,0.209404639077326,-4.62315785428156,3.77941890790182e-06,0.000131334807049588,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ed84a29ba7a689a813e99223d4639c2c",17.5305149384538,1.90736544698673,0.288117817963234,6.62008847793693,3.589839373296e-11,4.98987672888144e-09,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
"2ca95eaf36b31e0c53748c884f2034f8",2.05185932350732,-0.90008961839095,0.216715011841699,-4.15333303743824,3.27667313402573e-05,0.000517565415488156,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","uncultured",NA
"646ce1f0f312c610b2e94504f3f6a35a",3.13808525585571,-0.876977404409235,0.210418481290738,-4.167777464364,3.07583996464319e-05,0.000497141575680702,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","uncultured",NA
"7ff6d1765bd4b638501707ae80b9ffa2",9.65095940906654,1.20691866574408,0.263526232423593,4.57988054792234,4.65241564920151e-06,0.000134064811099109,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"560dfda31003c1078ac7bd9f3d218c76",5.89664404986109,-1.61002441730425,0.293054289345918,-5.49394592004691,3.9305089776368e-08,2.10131056881352e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium",NA
"93421c9e1b8c215f05e5d4ceb0a5a628",4.88066206737872,1.02158416331417,0.235517417488532,4.33761619080215,1.44036394160065e-05,0.000322920303036275,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured",NA
"642a83f7510d26bd4141a44a855be95a",4.13920773195576,0.847853039847008,0.21136963670161,4.01123384170792,6.04022461063572e-05,0.000777399278591078,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Nordella","Nordella oligomobilis"
"844ea6c43f8d7eda0a86db8935f1dc01",10.9873518563216,-1.26538387904469,0.288022941368719,-4.39334406152315,1.11620261832242e-05,0.000277057435619314,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA
"736976edca4c2b1f7cb62d5de9db0b24",4.80966976718515,-0.959115515123564,0.230072968508721,-4.168744904455,3.06281546303425e-05,0.000497141575680702,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA
"2f276f6e58e6818619ed2717ab67200f",6.82045859426363,-2.77963751851342,0.305393648016179,-9.10181837955635,8.88318925319338e-20,3.0869082654847e-17,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"68cee33877840ff76a5ae275b950fa56",10.6128838673811,1.0209877417365,0.251988642750481,4.05172126248359,5.08422137720776e-05,0.000679525741761422,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"81bb8404ca2cdd21931355a8c884e197",5.58434655306177,1.48383179605287,0.277396790498921,5.34913108902261,8.83775123438031e-08,4.09482473859621e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
