"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"c5953bd5a252e26baaeb5c541e8ee462","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"e1daa1b3f5da1fa1080b0c0f61bec9a8","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"9e9f4a104762d7aede99e07d09ded8b0","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"68cb76ce63660735193becf071e0dc52","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","Blastocatella",NA
"ba57baaf459b0ebbc9fd26f61fa3b5d9","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"73d40ff1eada2c3ef704946c6622a63c","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"3b037f741b81c8ea1217e3552428784a","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"d9b23efbc15f402a97d257727d08deac","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","JGI 0001001-H03",NA
"d1f25a4d64831ecfb5b8e2eb10909c97","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"5573edaacf697ddf56afe6ccc766ae8c","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","JGI 0001001-H03",NA
"979f9628e97c5326086eefa7f947efab","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","JGI 0001001-H03",NA
