"","Location","Genotype","Block","Sample_Type","Sample_Type_Blanks_differentiated","Inbred_or_Hybrid","R1_Fastq_Name","R2_Fastq_Name","Experiment","Group"
"MMH-2GH-30R","GH","CML247","1","Root","Root","Inbred","MMH-2GH-30R_S97_L001_R1_001.trimmed.fastq.gz","MMH-2GH-30R_S97_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-43R","GH","B73xCML247","2","Root","Root","Hybrid","MMH-2GH-43R_S108_L001_R1_001.trimmed.fastq.gz","MMH-2GH-43R_S108_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END9Zb","IH","PH207","1","Rhizosphere","Rhizosphere","Inbred","END9Zb_S274_L001_R1_001.fastq.gz","END9Zb_S274_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"END9Za","IH","PH207","1","Rhizosphere","Rhizosphere","Inbred","END9Za_S214_L001_R1_001.fastq.gz","END9Za_S214_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"END16Zb","IH","B73xMo17","3","Rhizosphere","Rhizosphere","Hybrid","END16Zb_S262_L001_R1_001.fastq.gz","END16Zb_S262_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-43Z","GH","B73xCML247","2","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-43Z_S66_L001_R1_001.trimmed.fastq.gz","MMH-2GH-43Z_S66_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END3Ka","IH","HP301","0","Stalk","Stalk","Inbred","END3Ka_S193_L001_R1_001.fastq.gz","END3Ka_S193_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-38R","GH","B73","2","Root","Root","Inbred","MMH-2GH-38R_S104_L001_R1_001.trimmed.fastq.gz","MMH-2GH-38R_S104_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-33K","GH","CML247","2","Stalk","Stalk","Inbred","MMH-2GH-33K_S149_L001_R1_001.trimmed.fastq.gz","MMH-2GH-33K_S149_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-BK","Blank","Blank","Blank","Stalk","Blank-Stalk","Blank","MMH-BK_S62_L001_R1_001.fastq.gz","MMH-BK_S62_L001_R2_001.fastq.gz","MMH","Blank-Stalk_MMH"
"END11Kb","IH","B73xMo17","2","Stalk","Stalk","Hybrid","END11Kb_S232_L001_R1_001.fastq.gz","END11Kb_S232_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-33-1Z","IH","Ph207","0","Rhizosphere","Rhizosphere","Inbred","MMH-33-1Z_S65_L001_R1_001.fastq.gz","MMH-33-1Z_S65_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"MMH-2GH-26K","GH","B73xMo17","1","Stalk","Stalk","Hybrid","MMH-2GH-26K_S140_L001_R1_001.trimmed.fastq.gz","MMH-2GH-26K_S140_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-55-1K","IH","Bloody_Butcher_corn","0","Stalk","Stalk","Open_Pollinated","MMH-55-1K_S59_L001_R1_001.fastq.gz","MMH-55-1K_S59_L001_R2_001.fastq.gz","MMH","Stalk_MMH"
"MMH-2GH-28Z","GH","Hopi_blue","1","Rhizosphere","Rhizosphere","Open_Pollinated","MMH-2GH-28Z_S51_L001_R1_001.trimmed.fastq.gz","MMH-2GH-28Z_S51_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-11Z-soil","GH","Soil","0","Soil","Soil","Soil","MMH-2GH-11Z-soil_S33_L001_R1_001.trimmed.fastq.gz","MMH-2GH-11Z-soil_S33_L001_R2_001.trimmed.fastq.gz","GH","Soil_GH"
"MMH-2GH-22Z","GH","Ph207","1","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-22Z_S45_L001_R1_001.trimmed.fastq.gz","MMH-2GH-22Z_S45_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"P5BZ","Blank","Blank","Blank","Rhizosphere","Blank-Rhizosphere","Blank","P5BZ_S125_L001_R1_001.fastq.gz","P5BZ_S125_L001_R2_001.fastq.gz","END","Blank-Rhizosphere_END"
"MMH-2GH-41K","GH","B73xOh43","2","Stalk","Stalk","Hybrid","MMH-2GH-41K_S119_L001_R1_001.trimmed.fastq.gz","MMH-2GH-41K_S119_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END4Ka","IH","PH207","0","Stalk","Stalk","Inbred","END4Ka_S242_L001_R1_001.fastq.gz","END4Ka_S242_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-45R","GH","Mo17xB73","2","Root","Root","Hybrid","MMH-2GH-45R_S110_L001_R1_001.trimmed.fastq.gz","MMH-2GH-45R_S110_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END16Rb","IH","B73xMo17","3","Root","Root","Hybrid","END16Rb_S257_L001_R1_001.fastq.gz","END16Rb_S257_L001_R2_001.fastq.gz","END","Root_END"
"MMH-2GH-3R","GH","Oh43","0","Root","Root","Inbred","MMH-2GH-3R_S72_L001_R1_001.trimmed.fastq.gz","MMH-2GH-3R_S72_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-12Z","GH","Mo17xPh207","0","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-12Z_S35_L001_R1_001.trimmed.fastq.gz","MMH-2GH-12Z_S35_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-29R","GH","B73xPh207","1","Root","Root","Hybrid","MMH-2GH-29R_S96_L001_R1_001.trimmed.fastq.gz","MMH-2GH-29R_S96_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-38Z","GH","B73","2","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-38Z_S61_L001_R1_001.trimmed.fastq.gz","MMH-2GH-38Z_S61_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END16Za","IH","B73xMo17","3","Rhizosphere","Rhizosphere","Hybrid","END16Za_S261_L001_R1_001.fastq.gz","END16Za_S261_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"P5BS","Blank","Blank","Blank","Soil","Blank-Soil","Blank","P5BS_S166_L001_R1_001.fastq.gz","P5BS_S166_L001_R2_001.fastq.gz","END","Blank-Soil_END"
"MMH-2GH-34Z","GH","Ph207xMo17","2","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-34Z_S57_L001_R1_001.trimmed.fastq.gz","MMH-2GH-34Z_S57_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
