"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"dddf619753e1d62c73487d08f4a711f5",23.4434114264479,-4.02958474964807,0.340210152585698,-11.8443988782287,2.30062036727605e-32,1.78721876952602e-31,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured Chloroflexaceae bacterium"
"8ae64217ed70b3c10c0f134ccb79726a",1.85561838727746,-1.24284924218811,0.235047496911721,-5.28765146839619,1.23896758181447e-07,2.68928845699729e-07,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","uncultured","uncultured Ktedobacteria bacterium"
"e5d2d6c668aa7581ddfb3e291926ce88",1.88879051871114,-0.882888939508663,0.242706874326099,-3.63767586707257,0.000275109337518788,0.000478845969549212,"Bacteria","Chloroflexi","TK10","uncultured beta proteobacterium","uncultured beta proteobacterium","uncultured beta proteobacterium","uncultured beta proteobacterium"
"a3698f810b80f748b6df4e92b8059c4a",2.11161313301341,-0.870420682564699,0.22566409047054,-3.85715193210295,0.000114715863513507,0.000206488554324313,"Bacteria","Chloroflexi","TK10","uncultured Chloroflexus sp.","uncultured Chloroflexus sp.","uncultured Chloroflexus sp.","uncultured Chloroflexus sp."
"c6256bb8971d2cb1ea93b2ad23575688",5.1134105598799,-2.82713593606215,0.223491567521802,-12.6498550590118,1.12081401113597e-36,9.96579205082344e-36,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured anaerobic ammonium-oxidizing bacterium","uncultured anaerobic ammonium-oxidizing bacterium"
"77d2193e4b377278e469ad635c1345ec",6.84466368292133,-2.54266095722598,0.274559399521865,-9.26087747006269,2.02758986885923e-20,8.64948741744574e-20,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium","uncultured bacterium"
"93bcad252b7295ba9c29dc08ebf6e044",1.65220453935505,-0.874494530528198,0.209000727690032,-4.18416978827537,2.86210143124407e-05,5.40212495206682e-05,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","metagenome","metagenome"
"08465edd500b398e1bdd16b711daf176",1.84262229819554,-1.24841577814195,0.221111734252405,-5.64608559723408,1.64142144309818e-08,3.76201560561011e-08,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA
"6a99749865e92bae38b96be21c81c691",1.99042910961769,-1.17007466462935,0.224972716586171,-5.20096250951914,1.98259095313075e-07,4.22876336245807e-07,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured soil bacterium","uncultured soil bacterium"
"bb3f6c6901266248298d3f98797589f0",4.53182155243219,-2.76291182313762,0.262403355007352,-10.5292549443974,6.33337697346444e-26,3.46224607882723e-25,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA
